function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val,total_time
quadratic,5,10,0.5,1.0,1.0,250,"[-3.44065827e-25  5.79387929e-25 -4.61722673e+00 -4.83537451e+00
 -4.65026749e+00]",4.611045686329109e-50,0.2095048427581787
rastrigin,5,10,0.5,1.0,1.0,250,"[-9.94979256e-01  1.03136765e-03  9.94254111e-01  9.96003750e-01
 -2.09936378e-04]",2.9854120534837065,0.25679826736450195
quadratic,2,25,0.4,1.8,1.8,60,[4.25691297e-10 1.04238862e-09],1.2677871198691464e-18,0.13483405113220215
rastrigin,2,25,0.4,1.8,1.8,60,[ 7.62495587e-08 -5.25505648e-08],1.70174985214544e-12,0.13503336906433105
quadratic,5,25,0.4,1.8,1.8,60,"[-9.94494444e-09 -5.57270497e-09 -4.24600522e+00 -2.42168387e+00
  1.24132084e+00]",1.299569604629523e-16,0.12762713432312012
rastrigin,5,25,0.4,1.8,1.8,60,"[ 5.84942591e-05  1.99001051e+00  9.94819108e-01 -9.94870597e-01
 -9.94964315e-01]",6.96471635671508,0.1312553882598877
quadratic,2,25,0.4,1.8,1.8,250,[-2.09596295e-31 -3.25798546e-31],1.5007529954766225e-61,0.47165560722351074
rastrigin,2,25,0.4,1.8,1.8,250,[4.77513942e-10 3.16816344e-09],0.0,0.5139315128326416
quadratic,5,25,0.4,1.8,1.8,250,"[ 2.48285207e-31  9.30018879e-32 -2.44425397e+00 -2.05988783e+00
 -2.75067979e+00]",7.0294895314453925e-62,0.4998898506164551
rastrigin,5,25,0.4,1.8,1.8,250,"[-9.94958637e-01  9.94958638e-01 -1.84474509e-09  2.00873474e-10
 -9.94958639e-01]",2.9848771712798694,0.585482120513916
quadratic,2,25,0.4,1.8,1.0,60,[-3.87529669e-12  6.29238347e-11],3.974426897462825e-21,0.11432242393493652
rastrigin,2,25,0.4,1.8,1.0,60,[-8.04667184e-08  3.30732664e-08],1.4992451724538114e-12,0.1318056583404541
quadratic,5,25,0.4,1.8,1.0,60,"[ 1.48037560e-10  1.21509167e-10 -1.74498234e+00 -1.30727014e+00
  2.86903266e+00]",3.6679596752769435e-20,0.1278674602508545
rastrigin,5,25,0.4,1.8,1.0,60,[-0.9990921   2.00049193 -1.0123972  -0.96858174  0.03335875],7.4079683290094565,0.13132619857788086
quadratic,2,25,0.4,1.8,1.0,250,[-2.24653174e-39  6.00891153e-40],5.407975026151214e-78,0.460202693939209
rastrigin,2,25,0.4,1.8,1.0,250,[-1.23470732e-09 -2.86856755e-09],0.0,0.5599725246429443
quadratic,5,25,0.4,1.8,1.0,250,"[-9.03939000e-40 -6.58257658e-40  3.77626325e-01  4.77363483e+00
 -1.56317613e+00]",1.2504088604741733e-78,0.4601633548736572
rastrigin,5,25,0.4,1.8,1.0,250,"[ 2.52271614e-04  5.75183714e-05 -1.98982972e+00 -1.98214049e-05
 -3.54374349e-04]",3.9798708131173868,0.5602676868438721
quadratic,2,25,0.4,1.0,1.8,60,[-2.72409006e-10 -1.36707242e-10],9.289553675844186e-20,0.11801362037658691
rastrigin,2,25,0.4,1.0,1.8,60,[-6.29109630e-08  8.67941928e-08],2.2808421817899216e-12,0.13682198524475098
quadratic,5,25,0.4,1.0,1.8,60,"[-1.98966677e-10 -1.15254548e-10  5.56137805e-01 -6.76438593e-01
 -1.76437128e+00]",5.2871349560746913e-20,0.13875079154968262
rastrigin,5,25,0.4,1.0,1.8,60,"[-4.33475907e-06 -9.94957329e-01  9.58991316e-06  5.45820155e-06
 -1.98991401e+00]",4.974790276494495,0.13027572631835938
quadratic,2,25,0.4,1.0,1.8,250,[2.2844288e-38 1.4623905e-38],7.357200942669156e-76,0.48651671409606934
rastrigin,2,25,0.4,1.0,1.8,250,[-1.82424799e-09 -1.12064601e-09],0.0,0.5110745429992676
quadratic,5,25,0.4,1.0,1.8,250,"[ 1.02113392e-38  5.37142269e-38 -5.09046142e+00  5.12000000e+00
  2.87739880e+00]",2.989489614899393e-75,0.497556209564209
rastrigin,5,25,0.4,1.0,1.8,250,"[-3.74741209e-10 -9.94958640e-01  9.94958639e-01  9.94958637e-01
  1.98991223e+00]",6.9647083618339565,0.5911293029785156
quadratic,2,25,0.4,1.0,1.0,60,[-3.01854429e-12  1.11089619e-11],1.3252064383410963e-22,0.11679530143737793
rastrigin,2,25,0.4,1.0,1.0,60,[ 2.54953928e-09 -5.10539422e-10],0.0,0.14023923873901367
quadratic,5,25,0.4,1.0,1.0,60,"[1.92185959e-13 1.02275492e-12 2.35207236e+00 4.24623509e+00
 1.55407305e+00]",1.0829630642456232e-24,0.10150647163391113
rastrigin,5,25,0.4,1.0,1.0,60,"[ 1.98991741e+00 -1.98998808e+00 -9.94803183e-01 -1.51696774e-03
  1.43266994e-04]",8.955087981177918,0.13382363319396973
quadratic,2,25,0.4,1.0,1.0,250,[4.31458051e-45 2.95265713e-45],2.733378913399156e-89,0.4578418731689453
rastrigin,2,25,0.4,1.0,1.0,250,[-9.94958639e-01  1.44869441e-09],0.9949590570932898,0.5786550045013428
quadratic,5,25,0.4,1.0,1.0,250,"[-1.26260796e-45  2.53377165e-46 -1.60419087e+00  4.63287369e+00
 -4.40822049e+00]",1.6583788367869953e-90,0.5247337818145752
rastrigin,5,25,0.4,1.0,1.0,250,"[-4.13966078e-03  9.94621248e-01 -1.39458687e-03 -2.98339415e+00
  3.48010269e-04]",9.950330914217737,0.5663356781005859
quadratic,2,25,0.5,1.8,1.8,60,[ 3.76709376e-07 -9.06539474e-08],1.5012809241427257e-13,0.14008641242980957
rastrigin,2,25,0.5,1.8,1.8,60,[1.20733746e-06 1.40172361e-06],6.789946382923517e-10,0.15048551559448242
quadratic,5,25,0.5,1.8,1.8,60,"[-5.02809338e-07 -1.66582048e-08 -5.03388372e+00  2.60246532e+00
 -3.62451852e-01]",2.530947258691793e-13,0.12093281745910645
rastrigin,5,25,0.5,1.8,1.8,60,[-0.97665944 -1.04468515  0.03890623  0.03047335 -1.01963483],4.142287805879647,0.13516569137573242
quadratic,2,25,0.5,1.8,1.8,250,[4.98549927e-25 1.02981099e-23],1.0629961886677062e-46,0.515906810760498
rastrigin,2,25,0.5,1.8,1.8,250,[-5.55855501e-09 -3.15986650e-08],0.0,0.5719037055969238
quadratic,5,25,0.5,1.8,1.8,250,"[ 1.21993491e-23 -3.18365107e-25 -2.83485868e+00  5.12000000e+00
  3.25377795e+00]",1.4892547398460806e-46,0.54060959815979
rastrigin,5,25,0.5,1.8,1.8,250,"[-3.37582613e-09  1.04717938e-09 -3.52608915e-09 -8.93314910e-10
 -9.94958639e-01]",0.9949590570932898,0.5416336059570312
quadratic,2,25,0.5,1.8,1.0,60,[-2.35014586e-08  1.32606207e-08],7.281626180952418e-16,0.12763524055480957
rastrigin,2,25,0.5,1.8,1.0,60,[-0.00338473  0.00913255],0.018814849617221796,0.11642885208129883
quadratic,5,25,0.5,1.8,1.0,60,"[-7.60486421e-10  2.84907181e-09 -5.86384398e-01 -1.22309036e-01
 -3.03384388e+00]",8.695549763372868e-18,0.1394813060760498
rastrigin,5,25,0.5,1.8,1.0,60,[ 0.98836395 -0.9757158  -1.00098562  0.00243191 -0.02168438],3.1682601747378314,0.15837836265563965
quadratic,2,25,0.5,1.8,1.0,250,[1.17607001e-30 7.93456281e-31],2.0127135472793605e-60,0.5382063388824463
rastrigin,2,25,0.5,1.8,1.0,250,[2.59554204e-09 6.31998769e-10],0.0,0.5385661125183105
quadratic,5,25,0.5,1.8,1.0,250,"[ 1.37005943e-31  5.36753331e-31 -2.45695935e+00 -2.56356744e+00
 -4.72507760e+00]",3.0687476666524042e-61,0.4837322235107422
rastrigin,5,25,0.5,1.8,1.0,250,"[ 9.94837062e-01  4.54960382e-04 -9.94700757e-01 -9.95763340e-01
 -6.27006904e-04]",2.985140759474156,0.5668740272521973
quadratic,2,25,0.5,1.0,1.8,60,[-7.34626055e-08 -1.18196397e-08],5.536458285116575e-15,0.12561559677124023
rastrigin,2,25,0.5,1.0,1.8,60,[ 1.53926232e-07 -3.45918624e-08],4.938272013532696e-12,0.1570265293121338
quadratic,5,25,0.5,1.0,1.8,60,"[-5.21458177e-08 -1.73300532e-08  1.11814526e+00  3.84075426e-01
  4.37453095e+00]",3.019517044745069e-15,0.10645699501037598
rastrigin,5,25,0.5,1.0,1.8,60,"[ 1.21390656e-06 -7.72804250e-06  9.94913467e-01  9.94940312e-01
  1.98990487e+00]",5.969749798802113,0.14922380447387695
quadratic,2,25,0.5,1.0,1.8,250,[2.02702973e-30 8.54085956e-30],7.705513160849069e-59,0.49005889892578125
rastrigin,2,25,0.5,1.0,1.8,250,[-6.11029206e-10  2.21668079e-09],0.0,0.5896739959716797
quadratic,5,25,0.5,1.0,1.8,250,"[-6.94159801e-29 -9.29164523e-30 -1.33288487e+00 -5.12000000e+00
 -5.12000000e+00]",4.904912957563753e-57,0.5227346420288086
rastrigin,5,25,0.5,1.0,1.8,250,"[-2.57999557e-09 -9.94958643e-01  9.94958639e-01  9.94958634e-01
  4.50715330e-09]",2.9848771712798765,0.5940952301025391
quadratic,2,25,0.5,1.0,1.0,60,[1.06557375e-10 4.63902596e-10],2.2656009245965996e-19,0.12392807006835938
rastrigin,2,25,0.5,1.0,1.0,60,[7.50114847e-09 9.78525830e-09],2.842170943040401e-14,0.1321260929107666
quadratic,5,25,0.5,1.0,1.0,60,"[-7.09749277e-10  2.29548875e-10 -3.00130499e+00 -4.97474264e-01
  8.22072299e-01]",5.564367230796988e-19,0.14518260955810547
rastrigin,5,25,0.5,1.0,1.0,60,[ 0.99495873 -1.98991222  0.99495993 -0.99495863 -0.99495956],7.959667419427348,0.15159273147583008
quadratic,2,25,0.5,1.0,1.0,250,[5.98347211e-36 4.64825545e-37],3.601800126762045e-71,0.5216302871704102
rastrigin,2,25,0.5,1.0,1.0,250,[-9.16219135e-10 -3.11845370e-09],0.0,0.5561747550964355
quadratic,5,25,0.5,1.0,1.0,250,"[-1.03710108e-36  6.48656268e-36  4.42098448e-02 -1.66482162e-01
  3.51493910e+00]",4.315107405957508e-71,0.4944186210632324
rastrigin,5,25,0.5,1.0,1.0,250,"[-1.98991223e+00 -9.94958638e-01 -7.49481527e-10  9.94958637e-01
 -2.28958776e-09]",5.969749304740667,0.5387756824493408
