function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val
quadratic,5,25,0.4,1.0,1.8,250,"[ 1.52141243e-38 -7.09575054e-39  4.66572401e-01 -3.33253405e-01
 -2.12882849e+00]",2.8181925452698e-76
rastrigin,5,25,0.4,1.0,1.8,250,"[ 2.98485570e+00 -2.37681152e-10 -9.94958640e-01  9.94958638e-01
  9.94958639e-01]",11.939478412766881
quadratic,2,25,0.4,1.0,1.0,60,[-4.51507335e-12  4.53561753e-12],4.095771379802212e-23
rastrigin,2,25,0.4,1.0,1.0,60,[-7.36225392e-10  3.65990536e-09],0.0
quadratic,5,25,0.4,1.0,1.0,60,"[ 1.93797946e-11 -5.42621801e-13 -3.57451937e+00  1.63411322e+00
  3.67996316e-01]",3.758708755184852e-22
rastrigin,5,25,0.4,1.0,1.0,60,"[-9.94992934e-01 -9.95307463e-01 -9.94932283e-01  1.14347037e-06
 -9.95049514e-01]",3.979862365913327
quadratic,2,25,0.4,1.0,1.0,250,[ 2.35098458e-45 -2.26169082e-45],1.0642373885943877e-89
rastrigin,2,25,0.4,1.0,1.0,250,[ 9.95043978e-01 -2.97383591e-07],0.9949605012714322
quadratic,5,25,0.4,1.0,1.0,250,"[-2.97074561e-45 -7.34604501e-46 -4.76544930e+00 -1.03746451e+00
  2.02053615e-01]",9.36497326130292e-90
rastrigin,5,25,0.4,1.0,1.0,250,[-0.99524621 -0.99504052 -0.99494856  0.99596844 -0.99495303],4.975015251876528
quadratic,2,25,0.5,1.8,1.8,60,[ 1.12771774e-06 -2.52668488e-07],1.3355886732402312e-12
rastrigin,2,25,0.5,1.8,1.8,60,[5.75877387e-07 2.14925325e-06],9.82225856205332e-10
quadratic,5,25,0.5,1.8,1.8,60,"[-1.97507863e-07 -1.08995391e-07 -5.12000000e+00 -3.97995664e+00
 -5.12000000e+00]",5.08893511306689e-14
rastrigin,5,25,0.5,1.8,1.8,60,"[-9.37438977e-04  2.00128566e+00 -8.82207438e-03  1.11904851e-02
  1.01820054e-03]",4.046121154000176
quadratic,2,25,0.5,1.8,1.8,250,[-5.23125998e-24 -8.81908265e-24],1.0514229973432763e-46
rastrigin,2,25,0.5,1.8,1.8,250,[ 2.34740427e-09 -5.32408614e-10],0.0
quadratic,5,25,0.5,1.8,1.8,250,"[-9.14965366e-25  1.20873624e-23 -3.96459069e-01 -2.80338926e+00
 -1.55647278e+00]",1.469414906261409e-46
rastrigin,5,25,0.5,1.8,1.8,250,"[-9.94958638e-01 -9.94958638e-01 -2.14433239e-09  3.22306945e-09
 -9.94958636e-01]",2.9848771712798694
quadratic,2,25,0.5,1.8,1.0,60,[-3.86564120e-09  5.38081985e-09],4.38964041440051e-17
rastrigin,2,25,0.5,1.8,1.0,60,[2.44626019e-07 4.80454244e-08],1.2327916465437738e-11
quadratic,5,25,0.5,1.8,1.0,60,"[-1.91737298e-08  4.31341564e-09  5.12000000e+00 -2.97225007e+00
  5.12000000e+00]",3.86237467890042e-16
rastrigin,5,25,0.5,1.8,1.0,60,[-0.01890554 -0.03319388  1.0386093  -0.96284537  0.97588793],3.9253803729363383
