function,dimensions,swarmsize,omega,phip,phig,max_iter,best_position,best_value,total_time(s)
quadratic,2,10,0.5,1.0,1.0,250,[2.6479646e-34 2.0844464e-34],1.1356633315260752e-67,0.04856705665588379
rastrigin,2,10,0.5,1.0,1.0,250,[-1.56813318e-09  9.94958638e-01],0.9949590570932898,0.07550811767578125
quadratic,5,10,0.5,1.0,1.0,250,"[1.51105384e-34 4.05140745e-34 5.10629676e+00 4.24222628e+00
 1.59412376e+00]",1.8697186054349235e-67,0.05063199996948242
rastrigin,5,10,0.5,1.0,1.0,250,"[ 5.90331086e-03 -1.98987873e+00  2.98461000e+00 -1.98991012e+00
  1.01626064e-03]",16.92139365624388,0.05497550964355469
quadratic,2,25,0.4,1.8,1.8,60,[2.04945870e-08 1.81893544e-08],7.508807109532603e-16,0.03864598274230957
rastrigin,2,25,0.4,1.8,1.8,60,[ 0.00056591 -0.00095494],0.00024444961705683,0.04916214942932129
quadratic,5,25,0.4,1.8,1.8,60,"[-1.41050102e-09 -8.33806019e-10 -3.66510555e+00 -5.12000000e+00
 -5.12000000e+00]",2.6847456023606106e-18,0.030034780502319336
rastrigin,5,25,0.4,1.8,1.8,60,"[ 4.56607322e-05 -9.94742643e-01  9.95087758e-01  2.41704075e-04
  1.98989895e+00]",5.969773900478671,0.039006710052490234
quadratic,2,25,0.4,1.8,1.8,250,[-2.31633385e-30 -1.38831037e-30],7.292808171940494e-60,0.12274765968322754
rastrigin,2,25,0.4,1.8,1.8,250,[1.94645747e-09 5.87682096e-10],0.0,0.1702861785888672
quadratic,5,25,0.4,1.8,1.8,250,"[ 7.31201090e-33 -3.43031811e-32 -3.39093225e+00  1.04014582e-01
  5.12000000e+00]",1.2301737337786822e-63,0.11739373207092285
rastrigin,5,25,0.4,1.8,1.8,250,"[-1.21886027e-10 -9.94958639e-01  2.03294088e-09  1.22151246e-10
  9.94958639e-01]",1.9899181141865796,0.17649579048156738
quadratic,2,25,0.4,1.8,1.0,60,[-1.21776424e-10  2.24629386e-10],6.528785846136856e-20,0.02925848960876465
rastrigin,2,25,0.4,1.8,1.0,60,[-1.52471086e-08 -5.87533126e-08],7.318590178329032e-13,0.050218820571899414
quadratic,5,25,0.4,1.8,1.0,60,"[ 1.25036442e-10 -1.86941956e-10 -1.10555934e+00 -3.23334855e+00
  3.39338107e+00]",5.058140669147772e-20,0.03884005546569824
rastrigin,5,25,0.4,1.8,1.0,60,"[-4.10707139e-06 -1.66197488e-05 -9.97862455e-05 -9.94837889e-01
  9.94865986e-01]",1.9899247410938372,0.06046724319458008
